Modelo,Config,Reducción(%),Accuracy,F1-macro,F1-weighted
SVM,Original (16 vars),0.0,0.9254,0.9358,0.9254
MLP,Original (16 vars),0.0,0.9228,0.9336,0.923
SVM,PCA 4 comp (95% var),75.0,0.8915,0.894,0.8908
MLP,PCA 4 comp (95% var),75.0,0.8889,0.8911,0.8883
SVM,PCA 7 comp (99.6% var),56.2,0.9247,0.935,0.9247
MLP,PCA 7 comp (99.6% var),56.2,0.9251,0.9348,0.925
SVM,UMAP 5 comp,68.8,0.9118,0.9245,0.9116
MLP,UMAP 5 comp,68.8,0.9062,0.92,0.9067
SVM,UMAP 7 comp,56.2,0.9073,0.9206,0.9071
MLP,UMAP 7 comp,56.2,0.9066,0.9194,0.907
