Variable,MutualInfo,Spearman_abs,rank_mi
Perimeter,1.0559355747808474,0.35476141802541916,1
ConvexArea,1.034739360449345,0.3430349171565456,2
EquivDiameter,1.0311436109358207,0.3422855426206739,3
Area,1.0309805687120404,0.3422855426206739,4
MajorAxisLength,0.9933824621898879,0.3421316424267592,5
ShapeFactor2,0.9444338472108824,0.31303591225154176,6
ShapeFactor1,0.9232172567420334,0.30383836540694886,7
MinorAxisLength,0.9206391906882574,0.3044791422202745,8
Compactness,0.8264784548188708,0.16258223306661262,9
ShapeFactor3,0.8264775412075687,0.16258223306661262,10
AspectRation,0.8135043182207042,0.16099597416648667,11
Eccentricity,0.813451256714729,0.16099597416648667,12
roundness,0.796397144815018,0.342348440633221,13
ShapeFactor4,0.36128995196048974,0.2120889910635176,14
Solidity,0.234294131554996,0.32854003825489164,15
Extent,0.1976348274332418,0.02208907137509586,16
